Year,Course URI,Course Group URI,Course Group,Course Name
1976,http://history.archives.mbl.edu/concepts/course/a8a724be-9a2b-4d20-b582-b76147a1da72,http://history.archives.mbl.edu/concepts/coursegroup/59ce91f9-e021-481d-a195-b14146518cc5,Developmental Biology,Developmental Biology 1976
1976,http://history.archives.mbl.edu/concepts/course/0a760f35-b6c0-4c92-b9ce-6ae983b80f21,http://history.archives.mbl.edu/concepts/coursegroup/db004e6b-fe69-48a5-9ccf-0c6ca2e3166d,Bump Neurobiology,Bump Neurobiology 1976
1976,http://history.archives.mbl.edu/concepts/course/de680034-867f-41a7-8a01-a5fc812b8061,http://history.archives.mbl.edu/concepts/coursegroup/76d7a631-5b57-42f8-9faa-2385ad812fc6,Year-In-Science (I975-I976),Year-In-Science (I975-I976) 1976
1976,http://history.archives.mbl.edu/concepts/course/dad13908-9660-4be0-9cdb-867787da7cca,http://history.archives.mbl.edu/concepts/coursegroup/2fa000d6-044b-4289-826c-fc5c6e0bd310,Training Program In Microbial Ecology,Training Program In Microbial Ecology 1976
1977,http://history.archives.mbl.edu/concepts/course/0f24a054-5ddf-4efd-b3e8-63c14a834e06,http://history.archives.mbl.edu/concepts/coursegroup/d31993ac-e828-472b-9763-337e16372bec,Ecology,Ecology 1977
1977,http://history.archives.mbl.edu/concepts/course/948b638f-b2f3-4930-a72d-d45c990d1f1d,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1977
1977,http://history.archives.mbl.edu/concepts/course/68ce6a09-4b0f-413b-928d-edc59815da0b,http://history.archives.mbl.edu/concepts/coursegroup/0846bbf3-c8c9-4f95-8c42-7a4c90f19c55,Experimental Invertebrate Zoology,Experimental Invertebrate Zoology 1977
1977,http://history.archives.mbl.edu/concepts/course/c94791ba-43b7-4b0f-9741-99d893e1e0a4,http://history.archives.mbl.edu/concepts/coursegroup/47798ea7-dff4-4921-b4cf-d54d53b5dacb,Experimental Marine Botany,Experimental Marine Botany 1977
1977,http://history.archives.mbl.edu/concepts/course/ad33ad28-ee7d-402c-94d1-7374eb9e0a6c,http://history.archives.mbl.edu/concepts/coursegroup/f6e857d4-cc35-4735-a0bd-c66d8a7a3875,Neurobiology,Neurobiology 1977
1977,http://history.archives.mbl.edu/concepts/course/5f416bdc-232f-4361-8c22-0d152e00fefa,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1977
1977,http://history.archives.mbl.edu/concepts/course/e87b0e04-2315-459b-9b58-1d1db9a1d128,http://history.archives.mbl.edu/concepts/coursegroup/10362c01-03dd-443b-ac8c-c2c07f5d425d,Boston University Marine Program,Boston University Marine Program 1977
1977,http://history.archives.mbl.edu/concepts/course/4aa00cb0-e548-4f41-8a7f-6d3f5fcf0e6f,http://history.archives.mbl.edu/concepts/coursegroup/17723386-4f64-47d7-9cc9-f5ec9bfb9dd7,The Ecosystems Center,The Ecosystems Center 1977
1977,http://history.archives.mbl.edu/concepts/course/c19282b9-55ed-4a22-b246-63ead2872620,http://history.archives.mbl.edu/concepts/coursegroup/89242b8a-ec6a-4f36-b98e-731654efc04c,Behavior,Behavior 1977
